case_id,method,terminal_status,failure_category,calls,total_tokens,reported_latency_seconds,judge_status,strict_accepted_text,ready_and_accepted
m2-034,original,proof_ready,proof_ready,,,,scored,False,False
m2-034,direct_rewrite,proof_ready,proof_ready,1,3711,7.734347893999711,scored,True,True
m2-034,self_refine,proof_ready,proof_ready,3,11363,25.376566221000303,scored,True,True
m2-034,generator_critic,proof_ready,proof_ready,3,11370,23.348726473999704,scored,True,True
m2-034,best_of_n,proof_ready,proof_ready,4,15263,38.43895365899925,scored,True,True
m2-034,full_system,proof_ready,proof_ready,14,59416,166.35741544600023,scored,True,True
opc250-002,original,proof_ready,proof_ready,,,,scored,False,False
opc250-002,direct_rewrite,proof_ready,proof_ready,1,7208,36.82604929800027,scored,True,True
opc250-002,self_refine,proof_ready,proof_ready,3,18520,63.03172788300071,scored,True,True
opc250-002,generator_critic,proof_ready,proof_ready,3,18975,116.10038533899979,scored,True,True
opc250-002,best_of_n,proof_ready,proof_ready,4,27415,134.53538800200022,scored,True,True
opc250-002,full_system,budget_exhausted,token_budget,14,86135,311.52552821300014,scored,False,False
proofnet250-002,original,proof_ready,proof_ready,,,,scored,False,False
proofnet250-002,direct_rewrite,proof_ready,proof_ready,1,5698,29.86652044900029,scored,True,True
proofnet250-002,self_refine,proof_ready,proof_ready,3,15238,49.82618747400011,scored,True,True
proofnet250-002,generator_critic,proof_ready,proof_ready,3,16657,111.99601605800035,scored,True,True
proofnet250-002,best_of_n,proof_ready,proof_ready,4,22930,124.16649031499992,scored,True,True
proofnet250-002,full_system,budget_exhausted,token_budget,16,81437,335.2020619459995,scored,False,False
