case_id,method,terminal_status,failure_category,calls,total_tokens,reported_latency_seconds,judge_status,strict_accepted_text,ready_and_accepted
m2-011,original,proof_ready,proof_ready,,,,scored,True,True
m2-011,direct_rewrite,proof_ready,proof_ready,1,3562,6.687607089000039,scored,True,True
m2-011,self_refine,proof_ready,proof_ready,3,10849,19.963955695999857,scored,True,True
m2-011,generator_critic,proof_ready,proof_ready,3,10880,18.40023625500021,scored,True,True
m2-011,best_of_n,proof_ready,proof_ready,4,14404,33.872835386999895,scored,True,True
m2-011,full_system,proof_ready,proof_ready,4,15618,49.77463027199997,scored,True,True
m2-018,original,proof_ready,proof_ready,,,,scored,True,True
m2-018,direct_rewrite,proof_ready,proof_ready,1,3685,9.8964756580001,scored,True,True
m2-018,self_refine,proof_ready,proof_ready,3,10856,32.90850490900016,scored,True,True
m2-018,generator_critic,proof_ready,proof_ready,3,11051,26.808284116999857,scored,True,True
m2-018,best_of_n,proof_ready,proof_ready,4,14743,30.702209003000235,scored,True,True
m2-018,full_system,proof_ready,proof_ready,11,47112,174.49985013300034,scored,True,True
m2-034,original,proof_ready,proof_ready,,,,scored,False,False
m2-034,direct_rewrite,proof_ready,proof_ready,1,3708,16.9212636499999,scored,True,True
m2-034,self_refine,proof_ready,proof_ready,3,11277,24.463162917999853,scored,True,True
m2-034,generator_critic,proof_ready,proof_ready,3,11241,22.9757525980001,scored,True,True
m2-034,best_of_n,proof_ready,proof_ready,4,15206,34.92439684099986,scored,True,True
m2-034,full_system,budget_exhausted,patch_budget,12,51978,190.51727384600053,scored,False,False
B01,original,proof_ready,proof_ready,,,,scored,True,True
B01,direct_rewrite,proof_ready,proof_ready,1,3584,14.514485270000023,scored,True,True
B01,self_refine,proof_ready,proof_ready,3,10943,18.353832191000038,scored,True,True
B01,generator_critic,proof_ready,proof_ready,3,11000,32.31289156699995,scored,True,True
B01,best_of_n,proof_ready,proof_ready,4,14554,33.07543403699992,scored,True,True
B01,full_system,proof_ready,proof_ready,5,19426,56.91525737799998,scored,True,True
B25,original,proof_ready,proof_ready,,,,scored,False,False
B25,direct_rewrite,proof_ready,proof_ready,1,3594,5.8770496600000115,scored,True,True
B25,self_refine,proof_ready,proof_ready,3,10860,19.81387641699962,scored,True,True
B25,generator_critic,proof_ready,proof_ready,3,10874,17.92841688400017,scored,True,True
B25,best_of_n,proof_ready,proof_ready,4,14646,29.220712709000054,scored,True,True
B25,full_system,runtime_failed,local_global_obligation_confusion,2,8103,32.67703199000016,scored,False,False
B50,original,proof_ready,proof_ready,,,,scored,False,False
B50,direct_rewrite,proof_ready,proof_ready,1,3774,11.773503149999897,scored,True,True
B50,self_refine,proof_ready,proof_ready,3,11358,26.729318324999895,scored,True,True
B50,generator_critic,proof_ready,proof_ready,3,11614,27.969040779999887,scored,True,True
B50,best_of_n,proof_ready,proof_ready,4,15601,68.27295303200026,scored,True,True
B50,full_system,repair_not_found,repeated_patch,13,56938,199.71920180399957,scored,False,False
opc250-001,original,proof_ready,proof_ready,,,,scored,False,False
opc250-001,direct_rewrite,proof_ready,proof_ready,1,9696,81.53452464299994,scored,True,True
opc250-001,self_refine,proof_ready,proof_ready,3,28941,287.8828179760003,scored,True,True
opc250-001,generator_critic,runtime_failed,empty_required_text,3,28607,297.99053025199964,scored,True,False
opc250-001,best_of_n,proof_ready,proof_ready,4,40227,496.21903114400016,scored,True,True
opc250-001,full_system,runtime_failed,unknown_goal_reference,1,16818,230.418052041,scored,False,False
opc250-125,original,proof_ready,proof_ready,,,,scored,False,False
opc250-125,direct_rewrite,proof_ready,proof_ready,1,22458,446.3853650829999,scored,True,True
opc250-125,self_refine,proof_ready,proof_ready,3,34619,333.9815107510001,scored,True,True
opc250-125,generator_critic,proof_ready,proof_ready,3,32129,263.5028114060001,scored,True,True
opc250-125,best_of_n,budget_exhausted,token_budget,4,84240,1402.460780977,scored,False,False
opc250-125,full_system,runtime_failed,scope_escape,1,15159,178.19916939199993,scored,False,False
opc250-250,original,proof_ready,proof_ready,,,,scored,False,False
opc250-250,direct_rewrite,proof_ready,proof_ready,1,8425,71.38311550899994,scored,True,True
opc250-250,self_refine,runtime_failed,empty_required_text,1,9681,113.65862684600006,scored,False,False
opc250-250,generator_critic,proof_ready,proof_ready,3,22644,199.26889499599974,scored,True,True
opc250-250,best_of_n,runtime_failed,empty_required_text,1,8266,58.82024412299984,scored,False,False
