case_id,method,terminal_status,failure_category,calls,total_tokens,reported_latency_seconds,judge_status,strict_accepted_text,ready_and_accepted
m2-011,original,proof_ready,proof_ready,,,,scored,True,True
m2-011,direct_rewrite,proof_ready,proof_ready,1,3688,9.668604970999695,scored,True,True
m2-011,self_refine,proof_ready,proof_ready,3,10957,44.30371811299938,scored,True,True
m2-011,generator_critic,proof_ready,proof_ready,3,10969,19.4107195889992,scored,True,True
m2-011,best_of_n,proof_ready,proof_ready,4,14664,28.322337484000855,scored,True,True
m2-011,full_system,proof_ready,proof_ready,5,20136,104.82852588500009,scored,True,True
m2-018,original,proof_ready,proof_ready,,,,scored,True,True
m2-018,direct_rewrite,proof_ready,proof_ready,1,3740,10.786662242000602,scored,True,True
m2-018,self_refine,proof_ready,proof_ready,3,11074,76.5864596700003,scored,True,True
m2-018,generator_critic,proof_ready,proof_ready,3,10968,37.087873673000104,scored,True,True
m2-018,best_of_n,proof_ready,proof_ready,4,14849,51.71856921900053,scored,True,True
m2-018,full_system,proof_ready,proof_ready,4,16561,85.59036700999877,scored,True,True
m2-034,original,proof_ready,proof_ready,,,,scored,False,False
m2-034,direct_rewrite,proof_ready,proof_ready,1,3765,10.165942247999737,scored,True,True
m2-034,self_refine,proof_ready,proof_ready,3,11328,23.27191607199984,scored,True,True
m2-034,generator_critic,proof_ready,proof_ready,3,11310,49.38694531400051,scored,True,True
m2-034,best_of_n,proof_ready,proof_ready,4,15178,68.00576167800045,scored,True,True
m2-034,full_system,budget_exhausted,patch_budget,14,65156,320.6558870009994,scored,False,False
m2-035,original,proof_ready,proof_ready,,,,scored,False,False
m2-035,direct_rewrite,proof_ready,proof_ready,1,3722,10.5294411699997,scored,True,True
m2-035,self_refine,proof_ready,proof_ready,3,11136,26.40151971599971,scored,True,True
m2-035,generator_critic,proof_ready,proof_ready,3,11193,25.62512682400029,scored,True,True
m2-035,best_of_n,proof_ready,proof_ready,4,15151,58.38463318699996,scored,True,True
m2-035,full_system,proof_ready,proof_ready,10,40963,104.33608460800008,scored,True,True
B01,original,proof_ready,proof_ready,,,,scored,True,True
B01,direct_rewrite,proof_ready,proof_ready,1,3650,6.267148728999928,scored,True,True
B01,self_refine,proof_ready,proof_ready,3,11062,23.143830366998372,scored,True,True
B01,generator_critic,proof_ready,proof_ready,3,11080,74.1975293910009,scored,True,True
B01,best_of_n,proof_ready,proof_ready,4,14826,59.279869186000724,scored,True,True
B01,full_system,proof_ready,proof_ready,5,20007,59.44466105800075,scored,True,True
B02,original,proof_ready,proof_ready,,,,scored,True,True
B02,direct_rewrite,proof_ready,proof_ready,1,3747,7.357545648999803,scored,True,True
B02,self_refine,proof_ready,proof_ready,3,11252,21.23918054600108,scored,True,True
B02,generator_critic,proof_ready,proof_ready,3,11224,40.838270477999686,scored,True,True
B02,best_of_n,proof_ready,proof_ready,4,15206,67.98250305799957,scored,True,True
B02,full_system,proof_ready,proof_ready,5,19857,65.47422117399947,scored,True,True
B25,original,proof_ready,proof_ready,,,,scored,False,False
B25,direct_rewrite,proof_ready,proof_ready,1,3645,8.844959466000546,scored,True,True
B25,self_refine,proof_ready,proof_ready,3,11056,20.53503680400081,scored,True,True
B25,generator_critic,proof_ready,proof_ready,3,11070,24.858883914000216,scored,True,True
B25,best_of_n,proof_ready,proof_ready,4,14777,42.24229796600048,scored,True,True
B25,full_system,proof_ready,proof_ready,9,37099,97.49662453200017,scored,True,True
B26,original,proof_ready,proof_ready,,,,scored,False,False
B26,direct_rewrite,proof_ready,proof_ready,1,3776,12.297175163000247,scored,True,True
B26,self_refine,proof_ready,proof_ready,3,11360,37.79336379200049,scored,True,True
B26,generator_critic,proof_ready,proof_ready,3,11622,40.42316967100032,scored,True,True
B26,best_of_n,proof_ready,proof_ready,4,15421,51.64804859399919,scored,True,True
B26,full_system,proof_ready,proof_ready,10,41679,134.1200044190009,scored,True,True
B49,original,proof_ready,proof_ready,,,,scored,False,False
B49,direct_rewrite,proof_ready,proof_ready,1,3663,7.940165856999556,scored,True,True
B49,self_refine,proof_ready,proof_ready,3,11243,26.309270411999933,scored,True,True
B49,generator_critic,proof_ready,proof_ready,3,11184,59.72588384899973,scored,True,True
B49,best_of_n,proof_ready,proof_ready,4,15004,34.01742438899964,scored,True,True
B49,full_system,proof_ready,proof_ready,9,37298,137.86712534799972,scored,True,True
